time,value,system,replica,metric
0.0,5.243145999999999,M1-CN045,replica1,Drug - Asp105 minimum distance
0.2,4.5026,M1-CN045,replica1,Drug - Asp105 minimum distance
0.4,4.822169,M1-CN045,replica1,Drug - Asp105 minimum distance
0.6,3.8765319999999996,M1-CN045,replica1,Drug - Asp105 minimum distance
0.8,3.914706,M1-CN045,replica1,Drug - Asp105 minimum distance
1.0,4.226512,M1-CN045,replica1,Drug - Asp105 minimum distance
1.2,3.9699630000000004,M1-CN045,replica1,Drug - Asp105 minimum distance
1.4,4.546384,M1-CN045,replica1,Drug - Asp105 minimum distance
1.6,3.912622,M1-CN045,replica1,Drug - Asp105 minimum distance
1.8,4.80556,M1-CN045,replica1,Drug - Asp105 minimum distance
2.0,3.712157,M1-CN045,replica1,Drug - Asp105 minimum distance
2.2,3.4376469999999997,M1-CN045,replica1,Drug - Asp105 minimum distance
2.4,3.878159,M1-CN045,replica1,Drug - Asp105 minimum distance
2.6,3.4623720000000002,M1-CN045,replica1,Drug - Asp105 minimum distance
2.8,4.230294,M1-CN045,replica1,Drug - Asp105 minimum distance
3.0,4.55054,M1-CN045,replica1,Drug - Asp105 minimum distance
3.2,3.9455440000000004,M1-CN045,replica1,Drug - Asp105 minimum distance
3.4,3.546673,M1-CN045,replica1,Drug - Asp105 minimum distance
3.6,4.138574,M1-CN045,replica1,Drug - Asp105 minimum distance
3.8,5.068868,M1-CN045,replica1,Drug - Asp105 minimum distance
4.0,4.470803,M1-CN045,replica1,Drug - Asp105 minimum distance
4.2,5.097698,M1-CN045,replica1,Drug - Asp105 minimum distance
4.4,3.831788,M1-CN045,replica1,Drug - Asp105 minimum distance
4.6,5.0187040000000005,M1-CN045,replica1,Drug - Asp105 minimum distance
4.8,4.562025,M1-CN045,replica1,Drug - Asp105 minimum distance
5.0,4.820427,M1-CN045,replica1,Drug - Asp105 minimum distance
5.2,3.822185,M1-CN045,replica1,Drug - Asp105 minimum distance
5.4,4.139395,M1-CN045,replica1,Drug - Asp105 minimum distance
5.6,4.677274000000001,M1-CN045,replica1,Drug - Asp105 minimum distance
5.8,4.726576,M1-CN045,replica1,Drug - Asp105 minimum distance
6.0,4.183993,M1-CN045,replica1,Drug - Asp105 minimum distance
6.2,4.101537,M1-CN045,replica1,Drug - Asp105 minimum distance
6.4,4.638481,M1-CN045,replica1,Drug - Asp105 minimum distance
6.6,3.714055,M1-CN045,replica1,Drug - Asp105 minimum distance
6.8,4.193199,M1-CN045,replica1,Drug - Asp105 minimum distance
7.0,5.372384,M1-CN045,replica1,Drug - Asp105 minimum distance
7.2,4.366668000000001,M1-CN045,replica1,Drug - Asp105 minimum distance
7.4,4.708937000000001,M1-CN045,replica1,Drug - Asp105 minimum distance
7.6,4.852112,M1-CN045,replica1,Drug - Asp105 minimum distance
7.8,4.5678659999999995,M1-CN045,replica1,Drug - Asp105 minimum distance
8.0,4.657329,M1-CN045,replica1,Drug - Asp105 minimum distance
8.2,4.037077,M1-CN045,replica1,Drug - Asp105 minimum distance
8.4,3.904779,M1-CN045,replica1,Drug - Asp105 minimum distance
8.6,4.027081,M1-CN045,replica1,Drug - Asp105 minimum distance
8.8,4.915617,M1-CN045,replica1,Drug - Asp105 minimum distance
9.0,4.288613,M1-CN045,replica1,Drug - Asp105 minimum distance
9.2,3.511482,M1-CN045,replica1,Drug - Asp105 minimum distance
9.4,4.317569,M1-CN045,replica1,Drug - Asp105 minimum distance
9.6,3.893249,M1-CN045,replica1,Drug - Asp105 minimum distance
9.8,3.817776,M1-CN045,replica1,Drug - Asp105 minimum distance
10.0,4.246152,M1-CN045,replica1,Drug - Asp105 minimum distance
10.2,4.233748,M1-CN045,replica1,Drug - Asp105 minimum distance
10.4,3.981019,M1-CN045,replica1,Drug - Asp105 minimum distance
10.6,4.981173,M1-CN045,replica1,Drug - Asp105 minimum distance
10.8,4.113526,M1-CN045,replica1,Drug - Asp105 minimum distance
11.0,4.753042,M1-CN045,replica1,Drug - Asp105 minimum distance
11.2,5.269893,M1-CN045,replica1,Drug - Asp105 minimum distance
11.4,4.914899,M1-CN045,replica1,Drug - Asp105 minimum distance
11.6,4.918264,M1-CN045,replica1,Drug - Asp105 minimum distance
11.8,4.299548000000001,M1-CN045,replica1,Drug - Asp105 minimum distance
12.0,5.135942,M1-CN045,replica1,Drug - Asp105 minimum distance
12.2,4.320416,M1-CN045,replica1,Drug - Asp105 minimum distance
12.4,4.856944,M1-CN045,replica1,Drug - Asp105 minimum distance
12.6,4.389772,M1-CN045,replica1,Drug - Asp105 minimum distance
12.8,5.168385,M1-CN045,replica1,Drug - Asp105 minimum distance
13.0,4.477565,M1-CN045,replica1,Drug - Asp105 minimum distance
13.2,4.159172,M1-CN045,replica1,Drug - Asp105 minimum distance
13.4,3.829387,M1-CN045,replica1,Drug - Asp105 minimum distance
13.6,4.802187,M1-CN045,replica1,Drug - Asp105 minimum distance
13.8,4.6982859999999995,M1-CN045,replica1,Drug - Asp105 minimum distance
14.0,4.226454,M1-CN045,replica1,Drug - Asp105 minimum distance
14.2,4.6233629999999994,M1-CN045,replica1,Drug - Asp105 minimum distance
14.4,3.7700139999999998,M1-CN045,replica1,Drug - Asp105 minimum distance
14.6,4.238504,M1-CN045,replica1,Drug - Asp105 minimum distance
14.8,4.557994,M1-CN045,replica1,Drug - Asp105 minimum distance
15.0,4.037300999999999,M1-CN045,replica1,Drug - Asp105 minimum distance
15.2,3.980366,M1-CN045,replica1,Drug - Asp105 minimum distance
15.4,3.681371,M1-CN045,replica1,Drug - Asp105 minimum distance
15.6,3.723399,M1-CN045,replica1,Drug - Asp105 minimum distance
15.8,4.379475,M1-CN045,replica1,Drug - Asp105 minimum distance
16.0,3.531092,M1-CN045,replica1,Drug - Asp105 minimum distance
16.2,3.958107,M1-CN045,replica1,Drug - Asp105 minimum distance
16.4,4.388599999999999,M1-CN045,replica1,Drug - Asp105 minimum distance
16.6,4.732612,M1-CN045,replica1,Drug - Asp105 minimum distance
16.8,4.3120069999999995,M1-CN045,replica1,Drug - Asp105 minimum distance
17.0,3.487837,M1-CN045,replica1,Drug - Asp105 minimum distance
17.2,3.464606,M1-CN045,replica1,Drug - Asp105 minimum distance
17.4,3.953859,M1-CN045,replica1,Drug - Asp105 minimum distance
17.6,3.8296219999999996,M1-CN045,replica1,Drug - Asp105 minimum distance
17.8,3.605924,M1-CN045,replica1,Drug - Asp105 minimum distance
18.0,3.804116,M1-CN045,replica1,Drug - Asp105 minimum distance
18.2,4.6395669999999996,M1-CN045,replica1,Drug - Asp105 minimum distance
18.4,3.119712,M1-CN045,replica1,Drug - Asp105 minimum distance
18.6,3.72458,M1-CN045,replica1,Drug - Asp105 minimum distance
18.8,3.696093,M1-CN045,replica1,Drug - Asp105 minimum distance
19.0,4.2046410000000005,M1-CN045,replica1,Drug - Asp105 minimum distance
19.2,4.786848,M1-CN045,replica1,Drug - Asp105 minimum distance
19.4,4.041792,M1-CN045,replica1,Drug - Asp105 minimum distance
19.6,4.52691,M1-CN045,replica1,Drug - Asp105 minimum distance
19.8,4.277767,M1-CN045,replica1,Drug - Asp105 minimum distance
20.0,4.53795,M1-CN045,replica1,Drug - Asp105 minimum distance
20.2,4.2124369999999995,M1-CN045,replica1,Drug - Asp105 minimum distance
20.4,4.440835,M1-CN045,replica1,Drug - Asp105 minimum distance
20.6,4.959415,M1-CN045,replica1,Drug - Asp105 minimum distance
20.8,3.808531,M1-CN045,replica1,Drug - Asp105 minimum distance
21.0,3.6155779999999997,M1-CN045,replica1,Drug - Asp105 minimum distance
21.2,3.314045,M1-CN045,replica1,Drug - Asp105 minimum distance
21.4,3.9195029999999997,M1-CN045,replica1,Drug - Asp105 minimum distance
21.6,3.4617459999999998,M1-CN045,replica1,Drug - Asp105 minimum distance
21.8,4.9919649999999995,M1-CN045,replica1,Drug - Asp105 minimum distance
22.0,4.038985,M1-CN045,replica1,Drug - Asp105 minimum distance
22.2,4.0877360000000005,M1-CN045,replica1,Drug - Asp105 minimum distance
22.4,4.164924,M1-CN045,replica1,Drug - Asp105 minimum distance
22.6,4.6204849999999995,M1-CN045,replica1,Drug - Asp105 minimum distance
22.8,3.716893,M1-CN045,replica1,Drug - Asp105 minimum distance
23.0,3.821113,M1-CN045,replica1,Drug - Asp105 minimum distance
