system,replica,distance_metric,dist_bin_center_A,occ_mean_in_bin,n_frames
M1-CN045,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,5.25,0.0,4
M1-CN045,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,5.75,0.0,15
M1-CN045,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,6.25,0.0,141
M1-CN045,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,6.75,0.0,587
M1-CN045,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,7.25,0.0,1172
M1-CN045,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,7.75,0.0,1280
M1-CN045,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,8.25,0.0,845
M1-CN045,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,8.75,0.0,400
M1-CN045,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,9.25,0.0,179
M1-CN045,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,9.75,0.0,131
M1-CN045,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,10.25,0.0,129
M1-CN045,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,10.75,0.0,73
M1-CN045,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,11.25,0.0,22
M1-CN045,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,11.75,0.0,9
M1-CN045,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,12.25,0.0,5
M1-CN045,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,12.75,0.0,6
M1-CN045,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,13.75,0.0,2
M1-CN045,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,14.25,0.0,1
M1-CN045,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,6.25,0.0,94
M1-CN045,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,6.75,0.0132334581772784,1335
M1-CN045,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,7.25,0.036753072897651215,2739
M1-CN045,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,7.75,0.11329305135951662,662
M1-CN045,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,8.25,0.23624595469255663,103
M1-CN045,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,8.75,0.17094017094017092,39
M1-CN045,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,9.25,0.2333333333333333,20
M1-CN045,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,9.75,0.0,6
M1-CN045,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,10.25,0.0,3
M1-CN045,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,6.25,0.0,4
M1-CN045,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,6.75,0.0,130
M1-CN045,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,7.25,0.0032240730789897904,1861
M1-CN045,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,7.75,0.002916514764855997,2743
M1-CN045,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,8.25,0.0,217
M1-CN045,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,8.75,0.0,37
M1-CN045,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,9.25,0.0,7
M1-CN045,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,9.75,0.0,2
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,5.75,1.0,9
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,6.25,0.9771241830065358,51
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,6.75,0.9417670682730924,332
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,7.25,0.9169618260527351,847
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,7.75,0.9339573582943317,641
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,8.25,0.932258064516129,310
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,8.75,0.9792960662525881,161
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,9.25,0.9827586206896551,174
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,9.75,0.9737945492662473,318
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,10.25,0.9811165845648604,406
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,10.75,0.9771965124077799,497
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,11.25,0.9887640449438202,534
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,11.75,0.9851116625310173,403
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,12.25,0.9805996472663139,189
