system,dist_bin_center_A,mean,std,n,sem
M1-CN045,5.25,0.0,,1,
M1-CN045,5.75,0.0,,1,
M1-CN045,6.25,0.0,0.0,3,0.0
M1-CN045,6.75,0.004411152725759467,0.0076403406409613385,3,0.004411152725759467
M1-CN045,7.25,0.013325715325547001,0.020352628181959403,3,0.011750595359570626
M1-CN045,7.75,0.038736522041457534,0.06458431359517075,3,0.03728777083959904
M1-CN045,8.25,0.07874865156418555,0.1363966655367077,3,0.07874865156418555
M1-CN045,8.75,0.056980056980056974,0.09869235370762833,3,0.05698005698005698
M1-CN045,9.25,0.07777777777777777,0.13471506281091267,3,0.07777777777777778
M1-CN045,9.75,0.0,0.0,3,0.0
M1-CN045,10.25,0.0,0.0,2,0.0
M1-CN045,10.75,0.0,,1,
M1-CN045,11.25,0.0,,1,
M1-CN045,11.75,0.0,,1,
M1-CN045,12.25,0.0,,1,
M1-CN045,12.75,0.0,,1,
M1-CN045,13.75,0.0,,1,
M1-CN045,14.25,0.0,,1,
M1-Clemastine,5.25,1.0,,1,
M1-Clemastine,5.75,0.6111111111111112,0.5357583756107198,3,0.3093202423794457
M1-Clemastine,6.25,0.4716668276506004,0.48943770500034145,3,0.2825769907334998
M1-Clemastine,6.75,0.4342446742758772,0.4749814184265039,3,0.2742306497886123
M1-Clemastine,7.25,0.40799900209440976,0.4662659351022541,3,0.269198763145239
M1-Clemastine,7.75,0.5447750795458889,0.48572376016111707,3,0.28043274368081816
M1-Clemastine,8.25,0.5958834071262914,0.5174793407530128,3,0.29876683668382203
M1-Clemastine,8.75,0.5317460317460317,0.49504739248662916,3,0.2858157453137777
M1-Clemastine,9.25,0.45039322444041135,0.49648081971839647,3,0.2866433349119023
M1-Clemastine,9.75,0.4761133346039006,0.4872554115993224,3,0.2813170430509707
M1-Clemastine,10.25,0.32703886152162015,0.5664479242049284,3,0.32703886152162015
M1-Clemastine,10.75,0.3257321708025933,0.5641846694897953,3,0.32573217080259337
M1-Clemastine,11.25,0.3295880149812734,0.5708631875133379,3,0.32958801498127344
M1-Clemastine,11.75,0.49255583126550867,0.6965791368016361,2,0.4925558312655086
M1-Clemastine,12.25,0.49029982363315694,0.6933886602111471,2,0.4902998236331569
M1-Clemastine,12.75,0.9912280701754387,,1,
M1-Clemastine,13.25,1.0,,1,
M1-Clemastine,13.75,0.9722222222222222,,1,
M1-Clemastine,14.25,0.9487179487179487,,1,
M1-Clemastine,14.75,1.0,,1,
M1-Clemastine,15.25,1.0,,1,
