system,replica,angle_bin_center,prob
M1-CN045,replica1,-177.5,0.001799640071985603
M1-CN045,replica1,-172.5,0.0011997600479904018
M1-CN045,replica1,-167.5,0.0
M1-CN045,replica1,-162.5,0.0
M1-CN045,replica1,-157.5,0.0
M1-CN045,replica1,-152.5,0.0
M1-CN045,replica1,-147.5,0.0
M1-CN045,replica1,-142.5,0.0
M1-CN045,replica1,-137.5,0.0
M1-CN045,replica1,-132.5,0.0
M1-CN045,replica1,-127.5,0.0
M1-CN045,replica1,-122.5,0.0
M1-CN045,replica1,-117.5,0.0
M1-CN045,replica1,-112.5,0.0
M1-CN045,replica1,-107.5,0.0
M1-CN045,replica1,-102.5,0.0
M1-CN045,replica1,-97.5,0.0
M1-CN045,replica1,-92.5,0.0
M1-CN045,replica1,-87.5,0.0
M1-CN045,replica1,-82.5,0.0
M1-CN045,replica1,-77.5,0.0
M1-CN045,replica1,-72.5,0.0
M1-CN045,replica1,-67.5,0.0
M1-CN045,replica1,-62.5,0.0
M1-CN045,replica1,-57.5,0.0
M1-CN045,replica1,-52.5,0.0
M1-CN045,replica1,-47.5,0.0
M1-CN045,replica1,-42.5,0.0
M1-CN045,replica1,-37.5,0.0
M1-CN045,replica1,-32.5,0.0
M1-CN045,replica1,-27.5,0.0
M1-CN045,replica1,-22.5,0.0
M1-CN045,replica1,-17.5,0.0
M1-CN045,replica1,-12.5,0.0
M1-CN045,replica1,-7.5,0.0001999600079984003
M1-CN045,replica1,-2.5,0.0001999600079984003
M1-CN045,replica1,2.5,0.0
M1-CN045,replica1,7.5,0.0001999600079984003
M1-CN045,replica1,12.5,0.0
M1-CN045,replica1,17.5,0.0
M1-CN045,replica1,22.5,0.0
M1-CN045,replica1,27.5,0.0
M1-CN045,replica1,32.5,0.0005998800239952009
M1-CN045,replica1,37.5,0.002599480103979204
M1-CN045,replica1,42.5,0.013197360527894421
M1-CN045,replica1,47.5,0.041191761647670466
M1-CN045,replica1,52.5,0.09538092381523695
M1-CN045,replica1,57.5,0.1915616876624675
M1-CN045,replica1,62.5,0.21655668866226754
M1-CN045,replica1,67.5,0.20215956808638272
M1-CN045,replica1,72.5,0.1289742051589682
M1-CN045,replica1,77.5,0.0591881623675265
M1-CN045,replica1,82.5,0.025994801039792043
M1-CN045,replica1,87.5,0.007198560287942412
M1-CN045,replica1,92.5,0.002999400119976005
M1-CN045,replica1,97.5,0.0011997600479904018
M1-CN045,replica1,102.5,0.0005998800239952009
M1-CN045,replica1,107.5,0.0001999600079984003
M1-CN045,replica1,112.5,0.0
M1-CN045,replica1,117.5,0.0
M1-CN045,replica1,122.5,0.0
M1-CN045,replica1,127.5,0.0
M1-CN045,replica1,132.5,0.0
M1-CN045,replica1,137.5,0.0
M1-CN045,replica1,142.5,0.0001999600079984003
M1-CN045,replica1,147.5,0.0
M1-CN045,replica1,152.5,0.0001999600079984003
M1-CN045,replica1,157.5,0.0003999200159968006
M1-CN045,replica1,162.5,0.0007998400319936012
M1-CN045,replica1,167.5,0.0013997200559888023
M1-CN045,replica1,172.5,0.0011997600479904018
M1-CN045,replica1,177.5,0.002599480103979204
M1-CN045,replica2,-177.5,0.08858228354329134
M1-CN045,replica2,-172.5,0.17616476704659068
M1-CN045,replica2,-167.5,0.2401519696060788
M1-CN045,replica2,-162.5,0.21315736852629474
M1-CN045,replica2,-157.5,0.1227754449110178
M1-CN045,replica2,-152.5,0.03759248150369926
M1-CN045,replica2,-147.5,0.010997800439912017
M1-CN045,replica2,-142.5,0.0011997600479904018
M1-CN045,replica2,-137.5,0.0003999200159968006
M1-CN045,replica2,-132.5,0.0
M1-CN045,replica2,-127.5,0.0
M1-CN045,replica2,-122.5,0.0
M1-CN045,replica2,-117.5,0.0
M1-CN045,replica2,-112.5,0.0
M1-CN045,replica2,-107.5,0.0
M1-CN045,replica2,-102.5,0.0
M1-CN045,replica2,-97.5,0.0
M1-CN045,replica2,-92.5,0.0
M1-CN045,replica2,-87.5,0.0
M1-CN045,replica2,-82.5,0.0001999600079984003
M1-CN045,replica2,-77.5,0.0005998800239952009
M1-CN045,replica2,-72.5,0.0003999200159968006
M1-CN045,replica2,-67.5,0.001799640071985603
M1-CN045,replica2,-62.5,0.004599080183963208
M1-CN045,replica2,-57.5,0.005198960207958408
M1-CN045,replica2,-52.5,0.009998000399920015
