system,angle_bin_center,mean_prob,std_prob,n_reps,sem_prob
M1-CN045,-177.5,0.08198360327934413,0.07709670681269964,3,0.044511804431945794
M1-CN045,-172.5,0.11824301806305405,0.10136420986289373,3,0.058522653850535414
M1-CN045,-167.5,0.12790775178297675,0.12083977759208206,3,0.0697668781216031
M1-CN045,-162.5,0.10564553755915485,0.10659093876862692,3,0.06154030719124167
M1-CN045,-157.5,0.05785509564753716,0.061691902424611554,3,0.035617836471669606
M1-CN045,-152.5,0.0240618542958075,0.02089207324284573,3,0.01206204411068636
M1-CN045,-147.5,0.009998000399920015,0.009537484517266003,3,0.005506469253435415
M1-CN045,-142.5,0.0050656535359594745,0.00775817344635151,3,0.004479183527670851
M1-CN045,-137.5,0.0025994801039792045,0.004160898229691024,3,0.00240229571298275
M1-CN045,-132.5,0.001199760047990402,0.002078045360010651,3,0.001199760047990402
M1-CN045,-127.5,0.0007998400319936012,0.0013853635733404334,3,0.0007998400319936011
M1-CN045,-122.5,0.000599880023995201,0.0010390226800053254,3,0.000599880023995201
M1-CN045,-117.5,0.0002666133439978671,0.0004617878577801445,3,0.00026661334399786705
M1-CN045,-112.5,0.0003999200159968006,0.0006926817866702167,3,0.00039992001599680057
M1-CN045,-107.5,0.0002666133439978671,0.0004617878577801445,3,0.00026661334399786705
M1-CN045,-102.5,0.0007998400319936012,0.0013853635733404334,3,0.0007998400319936011
M1-CN045,-97.5,0.0013997200559888023,0.002424386253345759,3,0.0013997200559888023
M1-CN045,-92.5,0.0009331467039925349,0.0016162575022305062,3,0.000933146703992535
M1-CN045,-87.5,0.001199760047990402,0.002078045360010651,3,0.001199760047990402
M1-CN045,-82.5,0.0009331467039925349,0.0014465463183503768,3,0.0008351639062948522
M1-CN045,-77.5,0.0007998400319936012,0.0009163318726166448,3,0.0005290444533222538
M1-CN045,-72.5,0.0002666133439978671,0.00023089392889007228,3,0.00013330667199893355
M1-CN045,-67.5,0.0007331866959941345,0.0009449741304244368,3,0.0005455810685777811
M1-CN045,-62.5,0.0015996800639872027,0.0025994801039792045,3,0.0015008105377854702
M1-CN045,-57.5,0.0018662934079850698,0.0028930926367007536,3,0.0016703278125897044
M1-CN045,-52.5,0.003399320135972805,0.0057154992713283155,3,0.003299845042854513
M1-CN045,-47.5,0.002866093447977071,0.004622205811527243,3,0.0026686317695351065
M1-CN045,-42.5,0.002866093447977071,0.004622205811527243,3,0.0026686317695351065
M1-CN045,-37.5,0.0016663333999866695,0.0025476924419937873,3,0.0014709109171974883
M1-CN045,-32.5,0.000599880023995201,0.0010390226800053254,3,0.000599880023995201
M1-CN045,-27.5,0.00013330667199893355,0.00023089392889007228,3,0.00013330667199893355
M1-CN045,-22.5,0.00033326667999733386,0.0004162499499032459,3,0.00024032202062680726
M1-CN045,-17.5,0.0,0.0,3,0.0
M1-CN045,-12.5,0.0,0.0,3,0.0
M1-CN045,-7.5,6.665333599946678e-05,0.00011544696444503614,3,6.665333599946678e-05
M1-CN045,-2.5,6.665333599946678e-05,0.00011544696444503614,3,6.665333599946678e-05
M1-CN045,2.5,0.0,0.0,3,0.0
M1-CN045,7.5,0.0001999600079984003,0.0001999600079984003,3,0.00011544696444503615
M1-CN045,12.5,0.0,0.0,3,0.0
M1-CN045,17.5,0.0,0.0,3,0.0
M1-CN045,22.5,0.00013330667199893355,0.00023089392889007226,3,0.00013330667199893352
M1-CN045,27.5,0.0002666133439978671,0.0004617878577801445,3,0.00026661334399786705
M1-CN045,32.5,0.0007331866959941344,0.000808128751115253,3,0.00046657335199626744
M1-CN045,37.5,0.0017329867359861361,0.0015008105377854698,3,0.0008664933679930681
M1-CN045,42.5,0.005465573551956275,0.006884357173192218,3,0.003974685467140059
M1-CN045,47.5,0.014997000599880024,0.022764724601809134,3,0.0131432198768822
M1-CN045,52.5,0.03326001466373392,0.05384323151462601,3,0.03108640420900867
M1-CN045,57.5,0.06612010931147104,0.10868876465292407,3,0.0627514875302536
M1-CN045,62.5,0.07385189628740918,0.12361124878348805,3,0.07136698776001263
M1-CN045,67.5,0.07011930947143905,0.11442366756638492,3,0.0660625352711166
M1-CN045,72.5,0.045057655135639536,0.07273992495883028,3,0.04199641525581384
M1-CN045,77.5,0.021595680863827238,0.03267618190892301,3,0.01886560242120588
M1-CN045,82.5,0.009664733719922682,0.014221547885990714,3,0.008210814500269892
M1-CN045,87.5,0.0025994801039792045,0.003994198031481339,3,0.002306051308672425
M1-CN045,92.5,0.001199760047990402,0.0015871333599667612,3,0.0009163318726166448
M1-CN045,97.5,0.00046657335199626733,0.0006427814944339769,3,0.0003711100688415665
M1-CN045,102.5,0.0001999600079984003,0.0003463408933351084,3,0.0001999600079984003
M1-CN045,107.5,6.665333599946678e-05,0.00011544696444503614,3,6.665333599946678e-05
M1-CN045,112.5,0.0,0.0,3,0.0
M1-CN045,117.5,0.0,0.0,3,0.0
M1-CN045,122.5,0.0,0.0,3,0.0
M1-CN045,127.5,0.0,0.0,3,0.0
M1-CN045,132.5,0.0,0.0,3,0.0
M1-CN045,137.5,0.0,0.0,3,0.0
M1-CN045,142.5,0.0002666133439978671,0.00030544395753888154,3,0.0001763481511074179
M1-CN045,147.5,0.0005332266879957342,0.000923575715560289,3,0.0005332266879957341
M1-CN045,152.5,0.0008664933679930681,0.0007022364695629366,3,0.0004054364147369339
M1-CN045,157.5,0.0034659734719722723,0.0030016210755709396,3,0.0017329867359861361
M1-CN045,162.5,0.007265213623941878,0.006939313350704004,3,0.0040064144310201204
M1-CN045,167.5,0.011797640471905619,0.013455391994609656,3,0.007768474190139821
M1-CN045,172.5,0.02432846763980537,0.029971552842814976,3,0.01730408410183032
M1-CN045,177.5,0.04432446843964541,0.04988604801619339,3,0.02880172325095585
M1-Clemastine,-177.5,0.07791774978337666,0.06873807660290168,3,0.0396859470302624
M1-Clemastine,-172.5,0.08398320335932814,0.07388380238689189,3,0.04265683319682515
M1-Clemastine,-167.5,0.06665333599946677,0.059952776877954236,3,0.03461375186915245
M1-Clemastine,-162.5,0.0429247483836566,0.03844349247105288,3,0.022195360726751732
M1-Clemastine,-157.5,0.024461774311804307,0.02178952502882072,3,0.012580188140903732
M1-Clemastine,-152.5,0.011797640471905619,0.010299396328475032,3,0.005946359242735704
M1-Clemastine,-147.5,0.005665533559954676,0.005130575324382007,3,0.0029621390446296037
M1-Clemastine,-142.5,0.0017329867359861361,0.0015140727443312067,3,0.0008741503065122976
M1-Clemastine,-137.5,0.0012664133839898686,0.001101293850687083,3,0.0006358323011510669
M1-Clemastine,-132.5,0.0002666133439978671,0.00023089392889007228,3,0.00013330667199893355
M1-Clemastine,-127.5,0.00033326667999733386,0.00030544395753888154,3,0.0001763481511074179
M1-Clemastine,-122.5,6.665333599946678e-05,0.00011544696444503613,3,6.665333599946676e-05
M1-Clemastine,-117.5,6.665333599946678e-05,0.00011544696444503614,3,6.665333599946678e-05
M1-Clemastine,-112.5,0.0,0.0,3,0.0
M1-Clemastine,-107.5,0.0,0.0,3,0.0
M1-Clemastine,-102.5,0.0,0.0,3,0.0
M1-Clemastine,-97.5,0.00013330667199893355,0.00023089392889007228,3,0.00013330667199893355
M1-Clemastine,-92.5,6.665333599946678e-05,0.00011544696444503614,3,6.665333599946678e-05
M1-Clemastine,-87.5,0.0003999200159968006,0.0005290444533222536,3,0.00030544395753888154
M1-Clemastine,-82.5,0.0012664133839898686,0.0021934923244556867,3,0.0012664133839898686
M1-Clemastine,-77.5,0.002799440111977604,0.004676670891232353,3,0.002700077197964286
M1-Clemastine,-72.5,0.009598080383923215,0.01542805174241978,3,0.008907389826557536
M1-Clemastine,-67.5,0.02459508098380324,0.0363613955546165,3,0.0209932615115683
M1-Clemastine,-62.5,0.05105645537559155,0.06947576834625953,3,0.04011185355686902
M1-Clemastine,-57.5,0.0790508564953676,0.0969064322687253,3,0.05594895475655479
M1-Clemastine,-52.5,0.09058188362327535,0.0965864796315873,3,0.055764230015375234
M1-Clemastine,-47.5,0.08125041658334999,0.07591539925252289,3,0.04382977619408201
M1-Clemastine,-42.5,0.06372058921549023,0.05678664733032223,3,0.03278578612253789
M1-Clemastine,-37.5,0.038392321535692865,0.0330986668535175,3,0.019109524217696072
M1-Clemastine,-32.5,0.018996200759848033,0.016487912197318964,3,0.009519300545497019
M1-Clemastine,-27.5,0.007198560287942412,0.006488694556923796,3,0.003746249549129213
M1-Clemastine,-22.5,0.0035326268079717386,0.003188928538000582,3,0.0018411287498411159
M1-Clemastine,-17.5,0.001199760047990402,0.0009998000399920016,3,0.0005772348222251808
M1-Clemastine,-12.5,0.00033326667999733386,0.0005772348222251808,3,0.0003332666799973339
M1-Clemastine,-7.5,6.665333599946678e-05,0.00011544696444503614,3,6.665333599946678e-05
M1-Clemastine,-2.5,6.665333599946678e-05,0.00011544696444503614,3,6.665333599946678e-05
M1-Clemastine,2.5,6.665333599946678e-05,0.00011544696444503614,3,6.665333599946678e-05
M1-Clemastine,7.5,0.00013330667199893355,0.00023089392889007228,3,0.00013330667199893355
M1-Clemastine,12.5,0.0001999600079984003,0.0003463408933351084,3,0.0001999600079984003
M1-Clemastine,17.5,0.0001999600079984003,0.0003463408933351084,3,0.0001999600079984003
M1-Clemastine,22.5,0.0003999200159968006,0.0006926817866702168,3,0.0003999200159968006
M1-Clemastine,27.5,0.0003999200159968006,0.0006926817866702168,3,0.0003999200159968006
