system,replica,distance_metric,dist_bin_center_A,occ_mean_in_bin,n_frames
M1-CN045,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,5.25,0.9166666666666666,4
M1-CN045,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,5.75,0.8666666666666666,15
M1-CN045,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,6.25,0.8817966903073287,141
M1-CN045,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,6.75,0.8750709823963656,587
M1-CN045,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,7.25,0.8902161547212744,1172
M1-CN045,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,7.75,0.84453125,1280
M1-CN045,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,8.25,0.7546351084812623,845
M1-CN045,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,8.75,0.7833333333333334,400
M1-CN045,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,9.25,0.8379888268156425,179
M1-CN045,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,9.75,0.8549618320610687,131
M1-CN045,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,10.25,0.8397932816537469,129
M1-CN045,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,10.75,0.8082191780821918,73
M1-CN045,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,11.25,0.6969696969696968,22
M1-CN045,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,11.75,0.8518518518518519,9
M1-CN045,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,12.25,0.9333333333333332,5
M1-CN045,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,12.75,0.8888888888888888,6
M1-CN045,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,13.75,0.8333333333333333,2
M1-CN045,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,14.25,1.0,1
M1-CN045,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,6.25,0.0,94
M1-CN045,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,6.75,0.0,1335
M1-CN045,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,7.25,0.0,2739
M1-CN045,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,7.75,0.0,662
M1-CN045,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,8.25,0.0,103
M1-CN045,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,8.75,0.0,39
M1-CN045,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,9.25,0.0,20
M1-CN045,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,9.75,0.0,6
M1-CN045,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,10.25,0.0,3
M1-CN045,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,6.25,0.6666666666666666,4
M1-CN045,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,6.75,0.16666666666666666,130
M1-CN045,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,7.25,0.04236073795450475,1861
M1-CN045,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,7.75,0.01762061003767165,2743
M1-CN045,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,8.25,0.07373271889400922,217
M1-CN045,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,8.75,0.7297297297297297,37
M1-CN045,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,9.25,0.6666666666666666,7
M1-CN045,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,9.75,0.8333333333333333,2
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,5.75,0.0,9
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,6.25,0.0,51
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,6.75,0.013052208835341365,332
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,7.25,0.02872884691066509,847
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,7.75,0.01456058242329693,641
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,8.25,0.0064516129032258064,310
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,8.75,0.0,161
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,9.25,0.0,174
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,9.75,0.0,318
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,10.25,0.0,406
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,10.75,0.0,497
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,11.25,0.0,534
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,11.75,0.0,403
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,12.25,0.0,189
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,12.75,0.0,76
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,13.25,0.0,22
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,13.75,0.0,12
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,14.25,0.0,13
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,14.75,0.0,5
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,15.25,0.0,1
M1-Clemastine,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,5.25,0.0,2
M1-Clemastine,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,5.75,0.0,42
M1-Clemastine,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,6.25,0.0,609
M1-Clemastine,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,6.75,0.0,1972
M1-Clemastine,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,7.25,0.0007117437722419929,1405
M1-Clemastine,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,7.75,0.0,571
M1-Clemastine,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,8.25,0.0,272
M1-Clemastine,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,8.75,0.0,92
M1-Clemastine,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,9.25,0.0,19
M1-Clemastine,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,9.75,0.0,11
M1-Clemastine,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,10.25,0.0,1
M1-Clemastine,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,10.75,0.0,2
M1-Clemastine,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,11.25,0.0,2
M1-Clemastine,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,12.25,0.0,1
M1-Clemastine,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,5.75,0.0,1
M1-Clemastine,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,6.25,0.28125,32
M1-Clemastine,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,6.75,0.12955974842767295,795
M1-Clemastine,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,7.25,0.23341443633414435,2055
M1-Clemastine,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,7.75,0.2587382779198636,1564
M1-Clemastine,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,8.25,0.3110561056105611,404
M1-Clemastine,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,8.75,0.4063926940639269,73
M1-Clemastine,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,9.25,0.2666666666666666,35
M1-Clemastine,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,9.75,0.5256410256410257,26
M1-Clemastine,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,10.25,0.8333333333333334,6
