system,dist_bin_center_A,mean,std,n,sem
M1-CN045,5.25,0.9166666666666666,,1,
M1-CN045,5.75,0.8666666666666666,,1,
M1-CN045,6.25,0.5161544523246651,0.45976276030017826,3,0.2654441534226733
M1-CN045,6.75,0.3472458830210108,0.4646438916981443,3,0.26826227594923896
M1-CN045,7.25,0.3108589642252597,0.5021848998771161,3,0.28993658712701825
M1-CN045,7.75,0.28738395334589056,0.4825841419910745,3,0.27862008428519147
M1-CN045,8.25,0.2761226091250905,0.41604060798069153,3,0.24020115701146783
M1-CN045,8.75,0.5043543543543544,0.4376052132310255,3,0.25265148765771617
M1-CN045,9.25,0.5015518311607697,0.4427228254168388,3,0.2556061424308036
M1-CN045,9.75,0.5627650551314672,0.4874887982786338,3,0.2814517889130964
M1-CN045,10.25,0.41989664082687345,0.5938235242522687,2,0.41989664082687345
M1-CN045,10.75,0.8082191780821918,,1,
M1-CN045,11.25,0.6969696969696968,,1,
M1-CN045,11.75,0.8518518518518519,,1,
M1-CN045,12.25,0.9333333333333332,,1,
M1-CN045,12.75,0.8888888888888888,,1,
M1-CN045,13.75,0.8333333333333333,,1,
M1-CN045,14.25,1.0,,1,
M1-Clemastine,5.25,0.0,,1,
M1-Clemastine,5.75,0.0,0.0,3,0.0
M1-Clemastine,6.25,0.09375,0.16237976320958225,3,0.09375000000000001
M1-Clemastine,6.75,0.04753731908767144,0.07133266590417743,3,0.04118393386179048
M1-Clemastine,7.25,0.08761834233901715,0.12703784981352698,3,0.07334533678711105
M1-Clemastine,7.75,0.09109962011438684,0.14536176365620604,3,0.08392465337678932
M1-Clemastine,8.25,0.1058359061712623,0.17775517860442897,3,0.10262700021711707
M1-Clemastine,8.75,0.1354642313546423,0.23463093131450544,3,0.1354642313546423
M1-Clemastine,9.25,0.08888888888888886,0.15396007178390017,3,0.08888888888888888
M1-Clemastine,9.75,0.17521367521367523,0.3034789876509571,3,0.1752136752136752
M1-Clemastine,10.25,0.2777777777777778,0.4811252243246882,3,0.27777777777777785
M1-Clemastine,10.75,0.25,0.4330127018922193,3,0.25
M1-Clemastine,11.25,0.15555555555555556,0.2694301256218254,3,0.15555555555555559
M1-Clemastine,11.75,0.0,0.0,2,0.0
M1-Clemastine,12.25,0.0,0.0,2,0.0
M1-Clemastine,12.75,0.0,,1,
M1-Clemastine,13.25,0.0,,1,
M1-Clemastine,13.75,0.0,,1,
M1-Clemastine,14.25,0.0,,1,
M1-Clemastine,14.75,0.0,,1,
M1-Clemastine,15.25,0.0,,1,
