POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
4900,1511.88,3569.89,5811.63,-3656.47,-8556.24,1776.41,15944.03,0.0,3590.52,-2035.14,16401.13,1555.38,17956.51
4901,1476.8,3550.46,5779.69,-3635.91,-8563.61,1763.75,15931.71,0.0,3586.9,-2027.35,16302.91,1559.55,17862.46
4902,1482.31,3627.97,5757.25,-3657.36,-8539.51,1778.9,15912.61,0.0,3593.2,-2026.47,16362.17,1566.73,17928.9
4903,1489.93,3583.31,5777.76,-3684.05,-8541.61,1754.47,15915.26,0.0,3582.48,-2034.35,16295.06,1548.13,17843.19
4904,1535.54,3619.16,5793.86,-3636.43,-8538.15,1754.55,15946.73,0.0,3585.32,-2024.64,16475.27,1560.68,18035.95
4905,1477.24,3546.18,5768.49,-3657.72,-8546.91,1753.25,15883.26,0.0,3587.67,-2019.66,16223.8,1568.0,17791.8
4906,1477.82,3560.73,5806.52,-3698.57,-8538.91,1771.73,15950.53,0.0,3581.62,-2017.11,16329.85,1564.51,17894.37
4907,1518.85,3677.75,5841.1,-3656.28,-8552.79,1758.93,15877.02,0.0,3572.65,-2014.04,16464.58,1558.6,18023.19
4908,1517.04,3561.6,5800.75,-3660.19,-8559.0,1745.1,15941.29,0.0,3597.65,-2034.62,16346.59,1563.02,17909.61
4909,1591.34,3668.64,5789.43,-3630.82,-8522.76,1772.09,15858.07,0.0,3606.92,-2027.17,16525.98,1579.75,18105.73
4910,1512.78,3609.87,5785.8,-3677.54,-8536.53,1750.38,15894.06,0.0,3587.59,-2010.84,16338.82,1576.75,17915.56
4911,1566.36,3624.52,5778.71,-3620.38,-8557.2,1755.18,15944.96,0.0,3610.47,-2042.3,16492.14,1568.17,18060.31
4912,1556.21,3494.77,5787.86,-3650.86,-8526.57,1727.98,15938.97,0.0,3608.64,-2033.65,16328.35,1574.99,17903.34
4913,1511.09,3616.98,5779.36,-3682.59,-8533.75,1751.15,15929.06,0.0,3600.82,-2030.98,16371.3,1569.83,17941.13
4914,1530.18,3599.45,5788.58,-3627.49,-8569.39,1749.07,16009.66,0.0,3607.57,-2042.53,16480.07,1565.04,18045.11
4915,1541.64,3595.36,5795.22,-3683.91,-8532.69,1729.24,15987.02,0.0,3594.66,-2008.4,16431.87,1586.26,18018.14
4916,1498.47,3554.99,5834.83,-3711.08,-8552.96,1757.18,16039.18,0.0,3579.85,-2007.05,16420.61,1572.8,17993.41
4917,1505.79,3807.59,5857.41,-3685.88,-8548.34,1787.72,15910.9,0.0,3580.43,-2022.38,16635.19,1558.06,18193.24
4918,1506.53,3522.26,5746.48,-3651.64,-8551.7,1780.23,16013.4,0.0,3592.24,-2019.79,16365.56,1572.45,17938.01
4919,1518.13,3686.11,5819.9,-3701.92,-8536.09,1766.43,15963.37,0.0,3576.51,-2003.23,16515.93,1573.28,18089.21
4920,1497.87,3660.53,5782.25,-3722.12,-8516.67,1740.43,15948.11,0.0,3601.97,-2022.25,16390.4,1579.72,17970.12
4921,1493.38,3561.26,5812.6,-3694.89,-8552.83,1767.31,16020.35,0.0,3588.14,-1999.58,16407.19,1588.57,17995.76
4922,1469.56,3717.38,5795.04,-3691.44,-8538.83,1798.35,15909.06,0.0,3582.19,-2004.44,16459.13,1577.75,18036.87
4923,1479.62,3657.79,5792.27,-3698.31,-8539.82,1748.84,15939.98,0.0,3583.26,-2002.06,16380.37,1581.21,17961.58
4924,1505.32,3605.29,5796.39,-3723.47,-8568.03,1747.25,16033.66,0.0,3576.13,-1999.89,16396.43,1576.24,17972.67
4925,1437.05,3538.41,5768.57,-3688.79,-8575.38,1777.85,16049.28,0.0,3588.04,-2016.09,16306.99,1571.95,17878.94
4926,1565.21,3701.86,5810.05,-3663.49,-8550.69,1757.22,15893.69,0.0,3594.84,-2033.78,16513.84,1561.06,18074.9
4927,1484.28,3603.49,5865.28,-3688.3,-8578.62,1745.61,15996.86,0.0,3580.58,-2011.18,16428.6,1569.41,17998.0
4928,1524.95,3621.64,5829.84,-3682.89,-8598.45,1744.97,16080.6,0.0,3580.91,-2007.81,16520.66,1573.09,18093.75
4929,1468.69,3564.43,5777.92,-3677.46,-8564.09,1777.79,16027.46,0.0,3573.55,-2001.15,16374.73,1572.4,17947.13
4930,1546.75,3636.43,5845.9,-3708.52,-8546.76,1754.71,15886.74,0.0,3567.52,-1987.72,16415.25,1579.8,17995.06
4931,1498.4,3581.47,5830.9,-3708.81,-8581.12,1773.41,16030.68,0.0,3586.14,-2014.1,16424.93,1572.05,17996.98
4932,1551.52,3610.39,5846.71,-3671.79,-8559.99,1720.1,15972.75,0.0,3582.83,-2000.28,16469.69,1582.55,18052.23
4933,1544.31,3616.89,5841.33,-3704.24,-8575.16,1764.21,15966.14,0.0,3567.74,-1988.32,16453.46,1579.42,18032.88
4934,1532.09,3606.05,5811.52,-3671.62,-8568.06,1766.87,16027.06,0.0,3579.69,-2013.47,16503.91,1566.22,18070.14
4935,1501.06,3640.1,5841.69,-3684.76,-8589.52,1772.7,16076.53,0.0,3554.6,-1983.5,16557.81,1571.1,18128.9
4936,1526.04,3606.95,5799.08,-3659.3,-8560.36,1753.66,15956.19,0.0,3578.61,-2005.28,16422.26,1573.34,17995.59
4937,1499.94,3504.98,5795.32,-3701.19,-8579.81,1789.3,16073.87,0.0,3581.24,-2006.96,16382.41,1574.28,17956.69
4938,1452.66,3558.58,5816.39,-3699.16,-8548.05,1763.97,15939.89,0.0,3564.93,-1990.28,16284.28,1574.65,17858.92
4939,1494.04,3596.65,5760.88,-3641.41,-8579.0,1786.69,16052.41,0.0,3582.53,-2006.08,16470.26,1576.45,18046.72
4940,1428.66,3591.85,5809.51,-3694.31,-8555.25,1771.95,16006.02,0.0,3578.53,-2006.03,16358.44,1572.5,17930.93
4941,1502.21,3542.74,5789.85,-3707.51,-8539.78,1752.39,15953.21,0.0,3571.43,-2010.49,16293.11,1560.95,17854.06
4942,1422.61,3629.83,5800.02,-3697.86,-8555.96,1762.68,15990.14,0.0,3586.72,-2007.84,16351.46,1578.88,17930.35
4943,1530.67,3616.22,5787.58,-3676.64,-8560.93,1768.93,16000.62,0.0,3590.75,-2027.33,16466.45,1563.42,18029.87
4944,1460.72,3620.89,5737.99,-3671.02,-8546.41,1780.68,15979.89,0.0,3583.87,-2010.01,16362.74,1573.86,17936.59
4945,1580.49,3679.3,5786.7,-3658.63,-8560.7,1752.41,15959.59,0.0,3575.41,-1999.33,16539.17,1576.08,18115.25
4946,1411.62,3646.83,5798.19,-3633.01,-8569.9,1775.2,15988.32,0.0,3584.45,-2003.04,16417.26,1581.41,17998.67
4947,1463.57,3608.87,5791.27,-3698.37,-8561.3,1778.98,16034.51,0.0,3578.1,-1996.7,16417.53,1581.39,17998.92
4948,1514.5,3555.74,5863.84,-3649.15,-8589.5,1751.84,15984.56,0.0,3580.48,-2006.72,16431.84,1573.76,18005.6
4949,1529.87,3569.86,5854.3,-3699.87,-8554.75,1759.7,15963.72,0.0,3583.68,-2010.53,16422.82,1573.15,17995.97
4950,1540.27,3658.77,5828.91,-3728.28,-8570.48,1754.87,16039.24,0.0,3552.73,-1988.53,16523.3,1564.2,18087.5
4951,1467.21,3495.45,5795.37,-3655.29,-8586.04,1740.67,16000.43,0.0,3566.65,-1997.52,16257.81,1569.13,17826.95
4952,1483.77,3641.72,5792.19,-3727.08,-8558.33,1762.3,15980.02,0.0,3585.42,-2010.68,16374.59,1574.74,17949.34
4953,1481.0,3662.55,5816.9,-3699.37,-8582.68,1762.91,16037.14,0.0,3572.92,-1999.04,16478.44,1573.88,18052.32
4954,1559.94,3578.48,5817.65,-3713.21,-8559.94,1738.71,15995.89,0.0,3587.06,-2002.66,16417.52,1584.4,18001.92
4955,1421.72,3538.43,5839.81,-3681.93,-8576.09,1784.87,16047.37,0.0,3586.56,-1999.18,16374.17,1587.38,17961.55
4956,1525.62,3559.67,5801.08,-3691.03,-8560.98,1752.63,15960.01,0.0,3566.74,-1985.11,16346.99,1581.63,17928.63
4957,1500.67,3692.44,5819.79,-3636.3,-8562.14,1792.55,15952.39,0.0,3575.17,-2004.02,16559.4,1571.15,18130.55
4958,1500.6,3652.92,5791.49,-3714.75,-8558.12,1768.24,15938.04,0.0,3564.21,-1985.97,16378.42,1578.24,17956.65
4959,1512.79,3718.38,5822.05,-3676.81,-8555.62,1756.59,15906.97,0.0,3583.97,-2009.31,16484.36,1574.66,18059.02
4960,1524.32,3622.09,5794.96,-3646.35,-8581.54,1750.93,16008.27,0.0,3589.82,-2017.22,16472.68,1572.6,18045.28
4961,1518.24,3622.05,5803.13,-3708.39,-8549.94,1724.86,15955.47,0.0,3591.26,-2026.16,16365.42,1565.1,17930.53
4962,1509.79,3556.89,5795.89,-3683.73,-8575.77,1776.89,16026.98,0.0,3591.18,-2013.19,16406.94,1577.99,17984.93
4963,1508.53,3662.05,5795.27,-3641.08,-8563.83,1783.84,15932.69,0.0,3588.21,-2013.97,16477.48,1574.24,18051.72
4964,1481.29,3562.47,5795.86,-3721.23,-8567.84,1780.33,15947.4,0.0,3576.04,-1995.5,16278.26,1580.54,17858.8
4965,1486.73,3633.79,5809.8,-3707.04,-8561.67,1772.06,15953.25,0.0,3569.47,-1988.69,16386.93,1580.78,17967.71
4966,1501.85,3581.76,5823.44,-3683.24,-8553.04,1781.74,15991.26,0.0,3577.59,-1997.49,16443.78,1580.1,18023.88
4967,1548.43,3537.12,5808.56,-3693.38,-8542.36,1746.67,15923.09,0.0,3573.19,-1989.32,16328.13,1583.87,17912.0
4968,1463.99,3584.84,5793.2,-3701.27,-8546.69,1765.45,15971.9,0.0,3566.22,-1983.48,16331.41,1582.74,17914.15
4969,1557.07,3587.8,5786.9,-3697.93,-8535.67,1789.35,15953.19,0.0,3580.17,-1997.07,16440.71,1583.1,18023.81
4970,1536.77,3605.98,5755.25,-3677.53,-8535.7,1793.5,15960.11,0.0,3573.46,-1994.36,16438.37,1579.1,18017.47
4971,1543.13,3657.4,5740.88,-3667.22,-8521.12,1779.8,15875.2,0.0,3589.6,-2006.72,16408.08,1582.89,17990.97
4972,1504.99,3587.97,5802.17,-3698.18,-8540.46,1773.48,15964.87,0.0,3577.69,-1992.41,16394.85,1585.28,17980.13
4973,1535.34,3541.18,5806.7,-3722.59,-8546.87,1753.66,16003.58,0.0,3571.44,-1986.96,16371.01,1584.47,17955.48
4974,1507.86,3652.52,5789.26,-3753.34,-8547.38,1771.97,16016.8,0.0,3560.25,-1983.55,16437.69,1576.7,18014.38
4975,1497.94,3610.97,5780.54,-3705.9,-8560.68,1765.36,16010.05,0.0,3567.66,-1995.21,16398.28,1572.45,17970.74
4976,1518.12,3641.25,5831.8,-3682.62,-8557.22,1767.94,15956.75,0.0,3565.77,-1994.09,16476.01,1571.68,18047.69
4977,1523.51,3572.81,5765.31,-3720.12,-8522.56,1770.56,15846.64,0.0,3567.42,-1987.14,16236.14,1580.29,17816.43
4978,1482.97,3579.7,5807.63,-3668.12,-8529.98,1779.99,15878.55,0.0,3577.76,-2005.5,16330.74,1572.26,17903.0
4979,1540.64,3598.75,5769.82,-3700.63,-8547.59,1761.21,15892.91,0.0,3574.98,-2005.19,16315.11,1569.79,17884.9
4980,1487.18,3487.27,5787.77,-3730.96,-8531.73,1763.16,15949.0,0.0,3570.75,-2008.87,16211.7,1561.88,17773.58
4981,1511.7,3621.86,5774.47,-3687.68,-8524.21,1771.42,15902.25,0.0,3574.02,-2001.57,16369.81,1572.45,17942.26
4982,1514.61,3631.89,5795.83,-3691.19,-8549.63,1762.78,15947.25,0.0,3588.36,-2019.75,16411.53,1568.61,17980.14
4983,1516.61,3625.72,5800.44,-3722.94,-8562.17,1769.28,16036.05,0.0,3576.41,-1996.75,16462.99,1579.66,18042.65
4984,1559.23,3585.13,5755.56,-3693.54,-8545.7,1744.7,15911.48,0.0,3584.34,-1999.57,16316.86,1584.78,17901.63
4985,1464.44,3576.36,5753.21,-3653.27,-8555.88,1729.24,15982.15,0.0,3600.35,-2033.27,16296.25,1567.08,17863.32
4986,1523.7,3515.16,5767.95,-3699.92,-8527.35,1713.09,15889.94,0.0,3579.91,-2013.17,16182.57,1566.74,17749.3
4987,1511.78,3712.5,5755.95,-3693.98,-8545.79,1781.72,15968.63,0.0,3571.95,-2006.88,16490.81,1565.07,18055.88
4988,1484.93,3464.28,5841.32,-3648.98,-8566.44,1746.34,15995.55,0.0,3570.64,-1996.83,16317.0,1573.81,17890.81
4989,1485.44,3504.87,5784.48,-3608.82,-8589.79,1773.73,16074.82,0.0,3572.38,-2001.75,16424.73,1570.63,17995.35
4990,1473.28,3626.08,5819.68,-3693.43,-8549.03,1776.82,15993.08,0.0,3575.56,-1999.23,16446.47,1576.32,18022.8
4991,1515.51,3657.11,5798.21,-3750.44,-8524.8,1751.23,15982.25,0.0,3578.69,-1989.7,16429.08,1589.0,18018.08
4992,1510.12,3574.63,5768.74,-3661.37,-8540.74,1791.39,15970.97,0.0,3595.04,-2013.31,16413.75,1581.73,17995.48
4993,1501.82,3639.1,5848.63,-3703.99,-8561.36,1742.98,16023.17,0.0,3583.06,-2004.17,16490.35,1578.88,18069.24
