POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
4900,1430.29,3575.65,5767.66,-3617.3,-8518.13,1775.91,15870.83,0.0,3593.52,-2042.27,16284.9,1551.24,17836.14
4901,1493.01,3581.92,5776.06,-3729.58,-8544.2,1738.21,15986.24,0.0,3581.6,-2032.37,16301.66,1549.24,17850.89
4902,1490.06,3584.04,5812.83,-3635.2,-8552.88,1758.42,15975.55,0.0,3598.79,-2050.47,16432.83,1548.32,17981.15
4903,1493.79,3593.79,5778.92,-3601.32,-8568.76,1764.39,16013.82,0.0,3595.6,-2048.0,16474.64,1547.6,18022.24
4904,1474.42,3560.47,5782.35,-3647.45,-8553.72,1770.62,15955.0,0.0,3584.35,-2049.37,16341.7,1534.99,17876.68
4905,1521.02,3613.11,5757.66,-3654.11,-8560.7,1778.13,16005.43,0.0,3589.8,-2047.39,16460.53,1542.41,18002.94
4906,1527.89,3686.4,5817.11,-3630.09,-8572.47,1765.04,16014.33,0.0,3611.63,-2067.13,16608.21,1544.5,18152.71
4907,1477.57,3582.52,5767.86,-3613.92,-8567.61,1784.88,16020.74,0.0,3587.01,-2042.71,16452.04,1544.3,17996.34
4908,1522.5,3498.72,5808.09,-3624.36,-8560.49,1749.68,16001.32,0.0,3601.97,-2051.45,16395.46,1550.52,17945.97
4909,1495.77,3584.18,5815.17,-3616.13,-8542.02,1790.9,15938.64,0.0,3587.77,-2036.97,16466.52,1550.8,18017.31
4910,1467.35,3548.52,5841.77,-3640.47,-8543.6,1772.97,15922.52,0.0,3619.83,-2064.01,16369.06,1555.82,17924.88
4911,1491.58,3573.6,5845.78,-3623.63,-8568.74,1762.63,16013.08,0.0,3604.27,-2048.93,16494.3,1555.34,18049.64
4912,1522.4,3601.7,5812.07,-3589.46,-8569.24,1776.74,16021.83,0.0,3614.97,-2054.88,16576.03,1560.08,18136.12
4913,1556.19,3616.68,5834.28,-3642.93,-8568.28,1793.36,16061.23,0.0,3612.38,-2062.57,16650.52,1549.81,18200.33
4914,1502.51,3608.01,5813.32,-3640.61,-8567.81,1753.17,16008.05,0.0,3580.32,-2035.02,16476.64,1545.3,18021.94
4915,1508.0,3637.44,5767.3,-3673.14,-8555.85,1769.53,15986.12,0.0,3595.3,-2038.01,16439.38,1557.29,17996.67
4916,1557.53,3596.45,5820.7,-3645.97,-8588.16,1754.05,16064.44,0.0,3611.55,-2038.74,16559.05,1572.81,18131.87
4917,1469.75,3624.29,5767.15,-3605.22,-8579.72,1786.47,16066.17,0.0,3602.53,-2046.56,16528.9,1555.97,18084.87
4918,1492.07,3633.87,5777.1,-3662.16,-8569.51,1773.9,16006.63,0.0,3581.98,-2018.45,16451.9,1563.53,18015.43
4919,1481.83,3621.52,5789.82,-3679.36,-8543.72,1748.93,15919.79,0.0,3604.47,-2030.27,16338.81,1574.2,17913.01
4920,1522.96,3559.75,5774.58,-3662.53,-8553.91,1736.69,15972.71,0.0,3591.54,-2037.58,16350.25,1553.96,17904.21
4921,1496.26,3594.8,5779.41,-3620.61,-8582.84,1788.57,15996.12,0.0,3595.29,-2043.82,16451.72,1551.47,18003.19
4922,1456.13,3631.2,5814.79,-3695.22,-8539.75,1773.05,15886.53,0.0,3599.47,-2050.2,16326.73,1549.28,17876.01
4923,1458.96,3693.04,5774.35,-3675.98,-8578.24,1784.0,16039.9,0.0,3586.46,-2030.48,16496.03,1555.98,18052.0
4924,1518.0,3590.55,5767.44,-3672.18,-8567.72,1766.62,16021.99,0.0,3593.16,-2029.42,16424.69,1563.73,17988.42
4925,1548.83,3677.87,5777.71,-3681.05,-8543.69,1745.18,15988.06,0.0,3598.88,-2037.16,16512.91,1561.72,18074.63
4926,1480.72,3672.46,5804.02,-3679.99,-8540.75,1751.79,15938.61,0.0,3598.51,-2046.88,16426.86,1551.63,17978.5
4927,1534.58,3544.22,5785.86,-3646.1,-8570.66,1759.26,16057.37,0.0,3590.21,-2024.1,16464.52,1566.1,18030.62
4928,1457.34,3561.76,5765.13,-3660.31,-8582.75,1776.49,16046.49,0.0,3593.5,-2054.98,16364.16,1538.52,17902.68
