system,metric,system_mean,system_std,n_reps,system_sem
M1-CN045,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,7.545906152102912,0.3382629446696252,3,0.1952962021618836
M1-CN045,Drug - Asp105 minimum distance,4.601550325201626,0.2820822277644491,3,0.16286025013341401
M1-CN045,Drug - Tyr106 minimum distance,2.5202129162834095,0.12073101514617615,3,0.06970408409418159
M1-CN045,Drug - Tyr381 minimum distance,2.994591066320069,0.928242973661862,3,0.5359213307170547
M1-CN045,Drug - Tyr404 minimum distance,4.736813976538026,1.7368406890013404,3,1.002765439334419
M1-CN045,Drug - Tyr418 minimum distance,17.39751239085516,1.1384466155899604,3,0.6572824599688821
M1-Clemastine,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,7.950893821235753,1.2055640309894313,3,0.6960327178170785
M1-Clemastine,Drug - Asp105 minimum distance,2.9544287560487903,0.3240302954104364,3,0.1870789782808094
M1-Clemastine,Drug - Tyr106 minimum distance,2.384865470572552,0.00919013965568454,3,0.005305929604099724
M1-Clemastine,Drug - Tyr381 minimum distance,2.5103507548490303,0.17420628563755558,3,0.10057804590736756
M1-Clemastine,Drug - Tyr404 minimum distance,3.0248765621542355,0.7978503276746067,3,0.46063910145596537
M1-Clemastine,Drug - Tyr418 minimum distance,15.125257870892488,1.2523055359904072,3,0.7230189383117201
